Yr,Crs No,Section,Current Enrlmnt,Limit/Est Enrlmnt,Start Time,Enrlmnt Percentage,Predicted Enrlmnt,Predicted Capacity
2008,111,B ,16,35,0940,0.457142857,18.28571429,40
2008,111,A ,21,35,1050,0.6,24,40
2009,111,A ,23,35,1050,0.657142857,26.28571429,40
2010,111,A ,33,40,1050,0.825,33,40
2011,111,A ,27,35,1050,0.771428571,30.85714286,40
2012,111,A ,38,40,1050,0.95,38,40
2013,111,A ,27,40,1050,0.675,27,40
2014,111,A ,31,40,1050,0.775,31,40
2015,111,A ,28,40,1050,0.7,28,40
2016,111,A ,27,40,1050,0.675,27,40
2017,111,A ,16,40,1050,0.4,16,40
2018,111,A ,13,40,1050,0.325,13,40
2008,120,C ,20,35,1050,0.571428571,22.85714286,40
2008,120,B ,25,35,0940,0.714285714,28.57142857,40
2008,120,A ,27,35,1200,0.771428571,30.85714286,40
2009,120,C ,18,25,1050,0.72,28.8,40
2009,120,B ,22,25,0940,0.88,35.2,40
2009,120,A ,26,25,1200,1.04,41.6,40
2010,120,A ,21,35,1200,0.6,24,40
2010,120,C ,26,35,1050,0.742857143,29.71428571,40
2011,120,C ,30,35,1050,0.857142857,34.28571429,40
2011,120,A ,34,35,1200,0.971428571,38.85714286,40
2012,120,C ,15,35,1050,0.428571429,17.14285714,40
2012,120,A ,26,35,1200,0.742857143,29.71428571,40
2012,120,B ,28,35,0940,0.8,32,40
2013,120,C ,22,35,1050,0.628571429,25.14285714,40
2013,120,A ,19,30,1200,0.633333333,25.33333333,40
2014,120,C ,10,35,1050,0.285714286,11.42857143,40
2014,120,A ,26,35,1200,0.742857143,29.71428571,40
2015,120,A ,32,35,1200,0.914285714,36.57142857,40
2016,120,A ,30,35,1200,0.857142857,34.28571429,40
2017,120,A ,31,35,1200,0.885714286,35.42857143,40
2018,120,A ,35,35,1200,1,40,40
2008,124,A ,18,35,0110,0.514285714,20.57142857,40
2008,124,B ,22,35,0940,0.628571429,25.14285714,40
2008,124,D ,27,35,1200,0.771428571,30.85714286,40
2009,124,A ,14,35,0110,0.4,16,40
2009,124,B ,22,35,0940,0.628571429,25.14285714,40
2009,124,D ,25,35,1200,0.714285714,28.57142857,40
2009,124,C ,30,35,1050,0.857142857,34.28571429,40
2010,124,C ,20,35,1050,0.571428571,22.85714286,40
2010,124,B ,25,35,0940,0.714285714,28.57142857,40
2010,124,D ,26,35,1200,0.742857143,29.71428571,40
2010,124,A ,33,35,0110,0.942857143,37.71428571,40
2011,124,A ,16,30,0110,0.533333333,21.33333333,40
2011,124,B ,21,30,0940,0.7,28,40
2011,124,C ,23,30,1050,0.766666667,30.66666667,40
2011,124,D ,24,30,1200,0.8,32,40
2012,124,A ,27,35,0110,0.771428571,30.85714286,40
2012,124,C ,30,35,1050,0.857142857,34.28571429,40
2012,124,D ,32,35,1200,0.914285714,36.57142857,40
2012,124,B ,35,35,0940,1,40,40
2013,124,A ,9,35,0110,0.257142857,10.28571429,40
2013,124,C ,19,35,1050,0.542857143,21.71428571,40
2013,124,D ,20,35,1200,0.571428571,22.85714286,40
2013,124,B ,25,35,0940,0.714285714,28.57142857,40
2014,124,B ,12,35,0940,0.342857143,13.71428571,40
2014,124,C ,17,35,1050,0.485714286,19.42857143,40
2014,124,A ,23,35,0110,0.657142857,26.28571429,40
2014,124,D ,31,35,1200,0.885714286,35.42857143,40
2015,124,A ,14,30,0110,0.466666667,18.66666667,40
2015,124,B ,22,30,0940,0.733333333,29.33333333,40
2015,124,C ,23,30,1050,0.766666667,30.66666667,40
2015,124,D ,23,30,1200,0.766666667,30.66666667,40
2016,124,C ,28,35,1050,0.8,32,40
2016,124,A ,30,35,0110,0.857142857,34.28571429,40
2016,124,B ,31,35,0940,0.885714286,35.42857143,40
2017,124,A ,16,35,0110,0.457142857,18.28571429,40
2017,124,C ,29,35,1050,0.828571429,33.14285714,40
2017,124,B ,30,35,0940,0.857142857,34.28571429,40
2018,124,A ,18,35,1200,0.514285714,20.57142857,40
2018,124,B ,20,35,0940,0.571428571,22.85714286,40
2018,124,C ,20,35,1050,0.571428571,22.85714286,40
2008,125,A ,10,35,0110,0.285714286,11.42857143,40
2008,125,B ,14,35,0940,0.4,16,40
2008,125,C ,21,35,1050,0.6,24,40
2008,125,D ,28,35,1200,0.8,32,40
2009,125,A ,24,35,0110,0.685714286,27.42857143,40
2009,125,C ,23,30,1050,0.766666667,30.66666667,40
2009,125,B ,24,30,0940,0.8,32,40
2009,125,D ,24,25,1200,0.96,38.4,40
2010,125,A ,25,35,0110,0.714285714,28.57142857,40
2010,125,B ,29,35,0940,0.828571429,33.14285714,40
2010,125,C ,31,35,1050,0.885714286,35.42857143,40
2010,125,D ,32,35,1200,0.914285714,36.57142857,40
2011,125,A ,20,30,0110,0.666666667,26.66666667,40
2011,125,B ,21,30,0940,0.7,28,40
2011,125,D ,21,30,1200,0.7,28,40
2011,125,C ,24,30,1050,0.8,32,40
2011,125,E ,29,30,0940,0.966666667,38.66666667,40
2012,125,E ,18,35,0940,0.514285714,20.57142857,40
2012,125,B ,23,35,0940,0.657142857,26.28571429,40
2012,125,A ,27,35,0110,0.771428571,30.85714286,40
2012,125,C ,27,35,1050,0.771428571,30.85714286,40
2012,125,D ,33,35,1200,0.942857143,37.71428571,40
2013,125,E ,21,35,0940,0.6,24,40
