Yr	Crs No	Section	Current Enrlmnt	Percentageof Enrollment	Limit/Est Enrlmnt	Start Time	End Time
2018	111	A 	13	32.5	40	1050	1150
2017	111	A 	16	40	40	1050	1150
2008	111	B 	16	45.71428571	35	940	1040
2008	111	A 	21	60	35	1050	1150
2009	111	A 	23	65.71428571	35	1050	1150
2013	111	A 	27	67.5	40	1050	1150
2016	111	A 	27	67.5	40	1050	1150
2015	111	A 	28	70	40	1050	1150
2011	111	A 	27	77.14285714	35	1050	1150
2014	111	A 	31	77.5	40	1050	1150
2010	111	A 	33	82.5	40	1050	1150
2012	111	A 	38	95	40	1050	1150
2014	120	C 	10	28.57142857	35	1050	1150
2012	120	C 	15	42.85714286	35	1050	1150
2008	120	C 	20	57.14285714	35	1050	1150
2010	120	A 	21	60	35	1200	100
2013	120	C 	22	62.85714286	35	1050	1150
2013	120	A 	19	63.33333333	30	1200	100
2008	120	B 	25	71.42857143	35	940	1040
2009	120	C 	18	72	25	1050	1150
2010	120	C 	26	74.28571429	35	1050	1150
2012	120	A 	26	74.28571429	35	1200	100
2014	120	A 	26	74.28571429	35	1200	100
2008	120	A 	27	77.14285714	35	1200	100
2012	120	B 	28	80	35	940	1040
2011	120	C 	30	85.71428571	35	1050	1150
2016	120	A 	30	85.71428571	35	1200	100
2009	120	B 	22	88	25	940	1040
2017	120	A 	31	88.57142857	35	1200	100
2015	120	A 	32	91.42857143	35	1200	100
2011	120	A 	34	97.14285714	35	1200	100
2018	120	A 	35	100	35	1200	100
2009	120	A 	26	104	25	1200	100
2013	124	A 	9	25.71428571	35	110	210
2014	124	B 	12	34.28571429	35	940	1040
2009	124	A 	14	40	35	110	210
2017	124	A 	16	45.71428571	35	110	210
2015	124	A 	14	46.66666667	30	110	210
2014	124	C 	17	48.57142857	35	1050	1150
2008	124	A 	18	51.42857143	35	110	210
2018	124	A 	18	51.42857143	35	1200	100
2011	124	A 	16	53.33333333	30	110	210
2013	124	C 	19	54.28571429	35	1050	1150
2010	124	C 	20	57.14285714	35	1050	1150
2013	124	D 	20	57.14285714	35	1200	100
2018	124	B 	20	57.14285714	35	940	1040
2018	124	C 	20	57.14285714	35	1050	1150
2008	124	B 	22	62.85714286	35	940	1040
2009	124	B 	22	62.85714286	35	940	1040
2014	124	A 	23	65.71428571	35	110	210
2011	124	B 	21	70	30	940	1040
2009	124	D 	25	71.42857143	35	1200	100
2010	124	B 	25	71.42857143	35	940	1040
2013	124	B 	25	71.42857143	35	940	1040
2015	124	B 	22	73.33333333	30	940	1040
2010	124	D 	26	74.28571429	35	1200	100
2011	124	C 	23	76.66666667	30	1050	1150
2015	124	C 	23	76.66666667	30	1050	1150
2015	124	D 	23	76.66666667	30	1200	100
2008	124	D 	27	77.14285714	35	1200	100
2012	124	A 	27	77.14285714	35	110	210
2011	124	D 	24	80	30	1200	100
2016	124	C 	28	80	35	1050	1150
2017	124	C 	29	82.85714286	35	1050	1150
2009	124	C 	30	85.71428571	35	1050	1150
2012	124	C 	30	85.71428571	35	1050	1150
2016	124	A 	30	85.71428571	35	110	210
2017	124	B 	30	85.71428571	35	940	1040
2014	124	D 	31	88.57142857	35	1200	100
2016	124	B 	31	88.57142857	35	940	1040
2012	124	D 	32	91.42857143	35	1200	100
2010	124	A 	33	94.28571429	35	110	210
2012	124	B 	35	100	35	940	1040
2016	125	A 	8	22.85714286	35	110	210
2008	125	A 	10	28.57142857	35	110	210
2008	125	B 	14	40	35	940	1040
2012	125	E 	18	51.42857143	35	940	1040
2008	125	C 	21	60	35	1050	1150
2013	125	E 	21	60	35	940	1040
2015	125	A 	18	60	30	110	210
2015	125	D 	19	63.33333333	30	1200	100
2012	125	B 	23	65.71428571	35	940	1040
2011	125	A 	20	66.66666667	30	110	210
2009	125	A 	24	68.57142857	35	110	210
2011	125	B 	21	70	30	940	1040
2011	125	D 	21	70	30	1200	100
2010	125	A 	25	71.42857143	35	110	210
