  year    Math 111 # sections    Math 120 # sections    Math 124 # sections    Math 125 # sections    Math 126 # sections    Math 307 # sections    Math 308 # sections    Math 309 # sections    Math 324 # sections
------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------
  2008                      2                      3                      3                      4                      4                      3                      5                      1                      4
  2009                      1                      3                      4                      4                      4                      4                      6                      1                      4
  2010                      1                      2                      4                      4                      5                      4                      5                      2                      4
  2011                      1                      2                      4                      5                      6                      5                      6                      3                      4
  2012                      1                      3                      4                      5                      6                      5                      4                      4                      4
  2013                      1                      2                      4                      5                      6                      5                      6                      4                      4
  2014                      1                      2                      4                      4                      6                      5                      5                      4                      4
  2015                      1                      1                      4                      4                      6                      6                      6                      3                      4
  2016                      1                      1                      3                      4                      5                      5                      6                      3                      4
  2017                      1                      1                      3                      3                      5                      6                      6                      3                      3
  2018                      1                      1                      3                      3                      5                      6                      6                      3                      3
